actor_name,movies,revenues,costs,gross_profit,return,count
Lamman Rucker,[https://en.wikipedia.org/wiki/Why_Did_I_Get_Married_Too%3F],60095852,20000000,10047926,0.5023963,1
Finley Jacobsen,[https://en.wikipedia.org/wiki/Olympus_Has_Fallen],161000000,70000000,10500000,0.15,1
Lauren Hutton,[https://en.wikipedia.org/wiki/The_Joneses],7022728,10000000,-6488636,-0.6488636,1
Natalie Racoosin,[https://en.wikipedia.org/wiki/Alone_yet_Not_Alone],887851,7000000,-6556074.5,-0.936582071,1
Colin Quinn,[https://en.wikipedia.org/wiki/Trainwreck_(film)],140800000,35000000,35400000,1.011428571,1
Yin Chang,[https://en.wikipedia.org/wiki/Prom_(film)],10100000,8000000,-2950000,-0.36875,1
John Krasinski,"[https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi, https://en.wikipedia.org/wiki/Aloha_(film), https://en.wikipedia.org/wiki/Big_Miracle, https://en.wikipedia.org/wiki/Nobody_Walks, https://en.wikipedia.org/wiki/Something_Borrowed_(film)]",181100000,177000000,-86450000,-0.488418079,5
Mindy Kaling,[https://en.wikipedia.org/wiki/Inside_Out_(2015_film)],857600000,175000000,253800000,1.450285714,1
Abbie Cobb,[https://en.wikipedia.org/wiki/Moms%27_Night_Out],10500000,5000000,250000,0.05,1
Frances Fisher,"[https://en.wikipedia.org/wiki/Any_Day_Now_(2012_film), https://en.wikipedia.org/wiki/Plush_(film), https://en.wikipedia.org/wiki/The_Lincoln_Lawyer_(film), https://en.wikipedia.org/wiki/The_Roommate, https://en.wikipedia.org/wiki/Titanic_(1997_film)]",2314595839,258000000,899297919.5,3.485650851,5
Erick Avari,[https://en.wikipedia.org/wiki/Hachiko:_A_Dog%27s_Story],46700000,16000000,7350000,0.459375,1
Ryan Hansen,[https://en.wikipedia.org/wiki/Veronica_Mars_(film)],3500000,6000000,-4250000,-0.708333333,1
Ayelet Zurer,"[https://en.wikipedia.org/wiki/Ben-Hur_(2016_film), https://en.wikipedia.org/wiki/Darling_Companion, https://en.wikipedia.org/wiki/Man_of_Steel_(film)]",762893815,337000000,44446907.5,0.131889933,3
David Foy,[https://en.wikipedia.org/wiki/Hatchet_II],0,0,0,,1
Jemima West,[https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones],90600000,60000000,-14700000,-0.245,1
Nick Swardson,"[https://en.wikipedia.org/wiki/30_Minutes_or_Less, https://en.wikipedia.org/wiki/A_Haunted_House, https://en.wikipedia.org/wiki/A_Haunted_House_(film), https://en.wikipedia.org/wiki/Bucky_Larson:_Born_to_Be_a_Star, https://en.wikipedia.org/wiki/Grown_Ups_2]",410200000,122000000,83100000,0.681147541,5
"Harry Connick, Jr",[https://en.wikipedia.org/wiki/Dolphin_Tale],95900000,37000000,10950000,0.295945946,1
Lorelei Linklater,[https://en.wikipedia.org/wiki/Boyhood_(film)],44500000,4000000,18250000,4.5625,1
Tiya Sircar,"[https://en.wikipedia.org/wiki/The_Internship, https://en.wikipedia.org/wiki/Walking_with_Dinosaurs_(film)]",219500000,138000000,-28250000,-0.204710145,2
Yousef Erakat,[https://en.wikipedia.org/wiki/Boo!_A_Madea_Halloween],74800000,20000000,17400000,0.87,1
Deke Garner,[https://en.wikipedia.org/wiki/Hellion_(film)],0,0,0,,1
Aylin Tezel,[https://en.wikipedia.org/wiki/Robinson_Crusoe_(2016_film)],39500000,13000000,6750000,0.519230769,1
Anna Hutchison,[https://en.wikipedia.org/wiki/The_Cabin_in_the_Woods],66500000,30000000,3250000,0.108333333,1
Sean Maher,[https://en.wikipedia.org/wiki/Much_Ado_About_Nothing_(2012_film)],0,0,0,,1
Essence Atkins,"[https://en.wikipedia.org/wiki/A_Haunted_House, https://en.wikipedia.org/wiki/A_Haunted_House_(film), https://en.wikipedia.org/wiki/A_Haunted_House_2, https://en.wikipedia.org/wiki/Preacher%27s_Kid_(film)]",144715065,12000000,60357532.5,5.029794375,4
